captured_at,experiment_id,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C
2026-09-09T13:32:38.366428-07:00,2,7768.136,13.078125,146.468,1915.5328,30.7891
2026-09-09T13:32:39.365163-07:00,2,7769.135,13.077734,145.744,1906.0224,30.7891
2026-09-09T13:32:40.367498-07:00,2,7770.137,13.077539,142.044,1857.8048,30.7813
2026-09-09T13:32:41.367595-07:00,2,7771.136,13.077539,145.028,1896.6272,30.7891
2026-09-09T13:32:42.368248-07:00,2,7772.138,13.077539,145.684,1905.1648,30.7891
2026-09-09T13:32:43.367772-07:00,2,7773.137,13.077344,145.14,1898.0608,30.7891
2026-09-09T13:32:44.368828-07:00,2,7774.139,13.077539,146.252,1912.6016,30.7891
2026-09-09T13:32:45.369033-07:00,2,7775.138,13.077148,147.732,1931.9296,30.7891
2026-09-09T13:32:46.369935-07:00,2,7776.14,13.077344,146.572,1916.7616,30.7891
2026-09-09T13:32:47.368980-07:00,2,7777.139,13.077344,147.02,1922.5984,30.7813
2026-09-09T13:32:48.370955-07:00,2,7778.141,13.077344,148.132,1937.1776,30.7734
2026-09-09T13:32:49.369880-07:00,2,7779.14,13.077344,147.444,1928.1792,30.7734
2026-09-09T13:32:50.372417-07:00,2,7780.142,13.077344,147.576,1929.92,30.7656
2026-09-09T13:32:51.371198-07:00,2,7781.141,13.077148,149.22,1951.3856,30.7578
2026-09-09T13:32:52.373690-07:00,2,7782.143,13.077344,149.248,1951.7824,30.7578
2026-09-09T13:32:53.372196-07:00,2,7783.142,13.077539,149.676,1957.3888,30.7578
2026-09-09T13:32:54.373557-07:00,2,7784.144,13.077734,151.94,1987.0464,30.7578
2026-09-09T13:32:55.373049-07:00,2,7785.143,13.077344,150.456,1967.7312,30.7578
2026-09-09T13:32:56.375486-07:00,2,7786.145,13.077344,149.168,1951.1936,30.7578
2026-09-09T13:32:57.374616-07:00,2,7787.144,13.07793,157.64,2061.568,30.7578
2026-09-09T13:32:58.377099-07:00,2,7788.146,13.07832,158.984,2079.232,30.75
2026-09-09T13:32:59.375204-07:00,2,7789.145,13.07832,162.356,2123.3024,30.75
2026-09-09T13:33:00.377233-07:00,2,7790.147,13.078906,165.544,2165.1072,30.7422
2026-09-09T13:33:01.376248-07:00,2,7791.146,13.079297,167.708,2193.5104,30.7422
2026-09-09T13:33:02.378631-07:00,2,7792.148,13.079492,171.032,2237.0048,30.7344
2026-09-09T13:33:03.377066-07:00,2,7793.147,13.079688,173.132,2264.4864,30.7344
2026-09-09T13:33:04.379425-07:00,2,7794.149,13.080469,173.176,2265.2288,30.7344
2026-09-09T13:33:05.378078-07:00,2,7795.148,13.080469,174.12,2277.5936,30.7344
2026-09-09T13:33:06.380191-07:00,2,7796.15,13.080859,173.884,2274.5728,30.7344
2026-09-09T13:33:07.379209-07:00,2,7797.149,13.080664,171.04,2237.3248,30.7266
2026-09-09T13:33:08.381463-07:00,2,7798.151,13.080469,169.3,2214.5024,30.7266
2026-09-09T13:33:09.380040-07:00,2,7799.15,13.080469,167.432,2190.0672,30.7266
2026-09-09T13:33:10.383400-07:00,2,7800.148,13.080078,163.46,2138.0608,30.7266
2026-09-09T13:33:11.380636-07:00,2,7801.147,13.079883,161.34,2110.2848,30.7266
2026-09-09T13:33:12.384571-07:00,2,7802.149,13.080078,160.556,2100.0448,30.7188
2026-09-09T13:33:13.383565-07:00,2,7803.148,13.079883,159.264,2083.136,30.7188
2026-09-09T13:33:14.385417-07:00,2,7804.15,13.079492,154.972,2027.6096,30.7266
2026-09-09T13:33:15.382736-07:00,2,7805.149,13.079688,161.636,2114.1504,30.7344
2026-09-09T13:33:16.385378-07:00,2,7806.151,13.079883,161.724,2115.328,30.7344
2026-09-09T13:33:17.384618-07:00,2,7807.15,13.079688,159.976,2092.416,30.7344
